source,url,active
J. Weekly,https://www.jweekly.com/feed/,true
eJewish Philanthropy,https://ejewishphilanthropy.com/feed/,true
JTA,https://www.jta.org/feed/,true
The Forward,https://forward.com/feed/,true
Times of Israel,https://www.timesofisrael.com/feed/,true
Jewish Journal,https://jewishjournal.com/feed/,true
JNS,https://www.jns.org/feed/,true
Algemeiner,https://www.algemeiner.com/feed/,true
Jewish Currents,https://jewishcurrents.org/feed/,true
Haaretz,https://www.haaretz.com/srv/all-headlines-rss,true
